City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kununurra,AU,-15.7667,128.7333,69.78,88,24,0.0,few clouds
80,Constitucion,CL,-35.3333,-72.4167,60.13,57,48,14.74,scattered clouds
81,Yellowknife,CA,62.456,-114.3525,57.72,38,75,14.97,broken clouds
82,Altay,CN,47.8667,88.1167,54.12,34,0,8.61,clear sky
83,East London,ZA,-33.0153,27.9116,62.67,76,52,8.16,broken clouds
84,Tomatlan,MX,19.9333,-105.25,92.21,38,100,12.71,overcast clouds
85,Maceio,BR,-9.6658,-35.7353,78.24,88,75,2.3,broken clouds
86,Labuhan,ID,-6.8844,112.2051,79.0,88,100,7.54,moderate rain
87,Guayaramerin,BO,-10.8368,-65.3614,91.45,52,40,2.3,scattered clouds
88,Lata,PT,40.1629,-8.3327,66.36,53,100,2.73,overcast clouds
89,Zhanakorgan,KZ,43.9098,67.2495,69.42,48,99,7.81,overcast clouds
90,Przhevalskoye,RU,55.5093,31.8482,44.56,89,94,7.02,overcast clouds
91,Georgetown,MY,5.4112,100.3354,82.33,93,20,3.44,few clouds
92,Olafsvik,IS,64.8945,-23.7142,35.24,65,77,17.81,broken clouds
93,Vaini,TO,-21.2,-175.2,71.76,73,20,12.66,few clouds
94,Mayo,US,38.8876,-76.5119,75.31,85,100,5.75,overcast clouds
95,Kjopsvik,NO,68.097,16.3742,46.17,85,100,4.32,light rain
96,Muli,MV,2.9167,73.5667,80.85,83,100,22.59,moderate rain
97,Sulecin,PL,52.4443,15.1168,52.7,74,62,6.98,broken clouds
98,Busselton,AU,-33.65,115.3333,60.53,71,96,16.33,overcast clouds
99,Faanui,PF,-16.4833,-151.75,81.64,69,8,18.5,clear sky
100,Pevek,RU,69.7008,170.3133,27.23,79,91,18.61,overcast clouds
101,Coolum Beach,AU,-26.5333,153.1,72.1,99,100,15.9,overcast clouds
102,Fort Wellington,GY,6.4,-57.6,82.06,72,15,12.59,few clouds
103,Dikson,RU,73.5069,80.5464,32.81,98,100,13.67,overcast clouds
104,Bassano,CA,50.7834,-112.4685,57.69,69,100,8.77,overcast clouds
105,Roros,NO,62.5747,11.3842,39.04,93,100,8.05,light rain
106,Airai,TL,-8.9266,125.4092,59.92,95,72,1.52,broken clouds
107,Chiredzi,ZW,-21.05,31.6667,65.48,58,0,4.83,clear sky
108,Sitka,US,57.0531,-135.33,48.09,71,20,3.44,few clouds
109,Hermanus,ZA,-34.4187,19.2345,60.8,73,87,9.44,light rain
110,Thompson,CA,55.7435,-97.8558,44.76,53,100,21.85,overcast clouds
111,Torbay,CA,47.6666,-52.7314,51.76,68,75,12.66,broken clouds
112,Ballina,AU,-28.8667,153.5667,68.77,85,99,13.33,light rain
113,Nikolskoye,RU,59.7035,30.7861,50.72,69,80,10.22,broken clouds
